OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio
24479,NonResidential,Supermarket / Grocery Store,Safeway 0423 - 35th Ave,NORTHEAST,1965,1.0,1,32822,0,32822,Supermarket/Grocery Store,35042.0,Parking,0.0,Inconnu,14923.139939614732,42.0,252.3000031,587.5,8839812.0,0.0,5408701.0,3431110.0,Compliant,219.93,6.7,0.0,0.6118570168686845,0.3881428700067377,32822.0,32822.0,0.0,1.0
24482,NonResidential,K-12 School,View Ridge Elementary,NORTHEAST,1948,1.0,1,64314,0,64314,K-12 School,65210.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,86.0,45.0,80.59999847,2936336.25,0.0,1038090.0,1898246.0,Error - Correct Default Data,108.05,1.68,0.0,0.35353239943143433,0.6464675154284527,64314.0,64314.0,0.0,1.0
24484,NonResidential,Worship Facility,Messiah Lutheran Church,NORTHEAST,1950,1.0,2,20385,0,20385,Worship Facility,20385.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.0,39.70000076,61.59999847,809291.8125,0.0,193858.0,615434.0,Compliant,34.04,1.67,0.0,0.23954029560876103,0.7604599360752831,20385.0,10192.5,0.0,1.0
24485,NonResidential,Worship Facility,Sand Point Community Church,NORTHEAST,1946,1.0,1,24295,0,24295,Worship Facility,24295.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,53.0,8.899999619,27.89999962,216115.0,0.0,216115.0,0.0,Compliant,1.51,0.06,0.0,1.0,0.0,24295.0,24295.0,0.0,1.0
24488,NonResidential,Small- and Mid-Sized Office,Hawthorne Hills Professional Center,NORTHEAST,1967,1.0,2,20317,0,20317,Office,20317.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,83.0,30.60000038,96.0,620994.3125,0.0,620994.0,0.0,Compliant,4.33,0.21,0.0,0.9999994967747793,0.0,20317.0,10158.5,0.0,1.0
24493,NonResidential,Supermarket / Grocery Store,Metropolitan Market,NORTHEAST,1973,1.0,1,24377,0,24377,Supermarket/Grocery Store,24377.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,6.0,404.1000061,912.7999878,9851260.0,0.0,5697593.0,4153667.0,Compliant,260.32,10.68,0.0,0.5783618542196632,0.4216381457803367,24377.0,24377.0,0.0,1.0
24513,NonResidential,Other,Oak Tree 6,NORTHWEST,1986,1.0,1,33392,0,33392,Movie Theater,33392.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,83.5,262.0,2786648.75,0.0,2786648.0,0.0,Compliant,19.43,0.58,0.0,0.9999997308595135,0.0,33392.0,33392.0,0.0,1.0
24514,NonResidential,Supermarket / Grocery Store,OAKTREE PLAZA ASSOC,NORTHWEST,1986,1.0,1,45155,0,45155,Supermarket/Grocery Store,45155.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,6.0,147.8000031,351.7000122,6674179.5,0.0,4244454.0,2429726.0,Compliant,158.63,3.51,0.0,0.6359514304342578,0.3640486444813179,45155.0,45155.0,0.0,1.0
24531,NonResidential,Warehouse,Kenyon Industrial Park Building D,GREATER DUWAMISH,1966,1.0,1,32000,0,32000,Non-Refrigerated Warehouse,32040.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,3.0,68.19999695,176.6999969,2186148.5,0.0,1611215.0,574933.0,Compliant,41.77,1.31,0.0,0.7370107748856036,0.26298899640166257,32000.0,32000.0,0.0,1.0
24532,NonResidential,Warehouse,Kenyon Industrial Park Building B,GREATER DUWAMISH,1970,1.0,1,44000,0,44000,Non-Refrigerated Warehouse,45449.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,15.0,94.69999695,152.1999969,4302455.5,0.0,1148123.0,3154333.0,Compliant,175.53,3.99,0.0,0.2668529633833517,0.7331471528293553,44000.0,44000.0,0.0,1.0
